language,predicate,English translation,predicate class,veridicality,conjoined with negation,conjoined with complement,projection through negation,neg-raising,likelihood,unlikelihood,equal likelihood,certainty,counter-certainty,uncertainty,preference,opposition,indifference,focus sensitivity,gradability wrt decl,ignorance/belief wrt int,gradability wrt int,Q-to-P veridicality,Q-to-P distributivity,P-to-Q distributivity
catalan,acceptar,accept,assessment,veridical,contradictory,redundant,projective,0,always,incompatible,incompatible,always,incompatible,incompatible,incompatible,always,incompatible,1.0,undecided,belief,0,1.0,1.0,1.0
catalan,negar,deny (specific notes),assessment,typically anti-veridical,neither,neither,neither,0,compatible,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,1.0,undecided,,,,,
catalan,esperar,hope,bouletic,neither,neither,neither,neither,0,typically,compatible,compatible,incompatible,incompatible,always,always,incompatible,incompatible,1.0,1,,,,,
catalan,pregar,pray,bouletic,neither,neither,neither,neither,0,compatible,compatible,compatible,incompatible,incompatible,always,always,incompatible,incompatible,1.0,1,,,,,
catalan,preferir,prefer,bouletic,neither,neither,neither,neither,typically neg-raising,compatible,compatible,compatible,incompatible,incompatible,always,always,incompatible,incompatible,1.0,undecided,,,,,
catalan,voler,"want ",bouletic,neither,neither,neither,neither,1,compatible,compatible,typically,incompatible,incompatible,always,always,incompatible,incompatible,1.0,undecided,,,,,
catalan,preocupar-se,"be worried ",bouletic: negative,neither,neither,neither,neither,0,typically,compatible,compatible,incompatible,incompatible,always,incompatible,typically,compatible,1.0,1,ignorance,1,0.0,0.0,0.0
catalan,témer,fear,bouletic: negative,neither,neither,neither,neither,0,compatible,compatible,typically,incompatible,incompatible,always,incompatible,always,incompatible,1.0,1,ignorance,1,0.0,1.0,1.0
catalan,anunciar,announce,communication,typically veridical,neither,neither,projective,0,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,0.0,0,belief,0,0.0,1.0,1.0
catalan,argumentar,argue,communication,neither,neither,neither,neither,0,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,0.0,0,belief,undecided,0.0,1.0,1.0
catalan,asseverar,assert,communication,typically veridical,neither,neither,neither,0,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,0.0,0,belief,0,0.0,1.0,1.0
catalan,afirmar,"claim ",communication,typically veridical,neither,neither,neither,0,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,0.0,0,belief,0,0.0,1.0,1.0
catalan,queixar-se,complain,communication,veridical,neither,neither,projective,0,typically,compatible,compatible,typically,compatible,compatible,incompatible,always,incompatible,1.0,1,belief,1,1.0,1.0,1.0
catalan,explicar,explain,communication,typically veridical,neither,neither,undecided,0,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,0.0,0,belief,0,0.0,1.0,1.0
catalan,informar,inform,communication,veridical,neither,neither,undecided,0,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,0.0,0,belief,0,1.0,1.0,1.0
catalan,xiuxiuejar,whisper,communication: manner of saying,neither,neither,neither,neither,0,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,0.0,0,belief,0,0.0,1.0,0.0
catalan,escriure,write,communication: manner of saying,neither,neither,neither,neither,0,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,0.0,0,belief,0,0.0,1.0,0.0
catalan,decidir,decide,decision,neither,neither,neither,neither,0,typically,incompatible,compatible,typically,incompatible,compatible,compatible,compatible,compatible,1.0,0,belief,0,0.0,1.0,1.0
catalan,exigir,demand,directive,neither,neither,neither,neither,0,typically,compatible,compatible,typically,compatible,compatible,always,incompatible,incompatible,1.0,undecided,,,,,
